,점포명,제품군,판매량(int)
1785,(K67)중계동점,B Type,175
1647,(A01)상도동점,B Type,175
1352,(460)군산점,S Type,174
492,(2333)서천점,B Type,174
1787,(K67)중계동점,S Type,173
222,(1654)NB용인죽전점,B Type,173
639,(2648)신곡풍림점,B Type,172
146,(1622)NB남양주화도점,S Type,172
1860,(L06)팜스프링점,B Type,172
269,(1670)NB시흥목감점,S Type,172
399,(2029)목동중앙점,B Type,171
216,(1652)NB고양도내점,B Type,171
660,(2657)오포신현2점,B Type,171
1059,(4117)NBR남양주평내점,B Type,171
894,(4034)NB수원오목천점,B Type,171
471,(2324)영통점,B Type,171
1652,(A02)대방동점,S Type,171
1052,(4112)NBR화성동탄자이점,S Type,170
1755,(K39)면목동점,B Type,170
291,(1678)NB홍성홍북점,B Type,169
281,(1674)NB원주단구점,S Type,169
605,(2631)하남미사점,S Type,168
1713,(K12)중곡동점,B Type,168
401,(2029)목동중앙점,S Type,168
752,(2764)F오션시티점,S Type,168
846,(4015)NB대전문지점,B Type,168
1776,(K53)월피동점,B Type,168
1827,(K87)진량점,B Type,168
629,(2642)세종캐슬점,S Type,167
153,(1625)NB강서가양점,B Type,166
1169,(4155)NBR부천상이동점,S Type,166
635,(2644)세종메이저점,S Type,166
512,(2421)고양삼송점,S Type,165
165,(1629)NB세종소담점,B Type,164
1701,(K08)가양동점,B Type,163
1263,(4517)NBFC춘천점,B Type,163
167,(1629)NB세종소담점,S Type,162
339,(1695)NB세종나성점,B Type,161
552,(2530)아산장재점,B Type,161
358,(1704)PK마켓SF하남점,C Type,161
513,(2423)김포한강점,B Type,161
521,(2425)김포양곡점,S Type,161
411,(2033)죽전점,B Type,161
1863,(L07)봉일천점,B Type,159
87,(1600)NB용인보라점,B Type,159
567,(260)남원점,B Type,159
341,(1695)NB세종나성점,S Type,159
780,(310)청주점,B Type,159
470,(2323)망포점,S Type,159
1757,(K39)면목동점,S Type,158
1719,(K17)하안동점,B Type,157
563,(2535)나주혁신점,S Type,157
750,(2764)F오션시티점,B Type,157
119,(1612)NB안양평촌점,S Type,156
197,(1642)NB파주와동점,S Type,156
1562,(953)보령점,S Type,155
612,(2635)대구옥포점,B Type,155
693,(2669)성내점,B Type,154
1913,(L38)율전점,S Type,154
657,(2655)세종다정점,B Type,153
1523,(940)태백점,S Type,153
1340,(4542)NBFC 충주호암,S Type,153
486,(2331)구미구평점,B Type,153
1403,(631)신월점,S Type,153
1659,(A05)서초동점,B Type,153
518,(2424)고촌2점,S Type,153
384,(184)감삼점,B Type,153
686,(2666)미사퀸즈점,S Type,152
1716,(K15)일곡동점,B Type,151
1737,(K29)동림동점,B Type,150
1308,(4532)NBFC경주용강점,B Type,150
1845,(K99)작전점,B Type,150
204,(1645)NB남양주오남점,B Type,150
1650,(A02)대방동점,B Type,149
647,(2650)천안불당점,S Type,149
1745,(K33)공릉동점,S Type,149
738,(2757)F양천향교역점,B Type,148
21,(1161)과천점,B Type,148
1598,(967)포천점,S Type,146
1788,(K68)용현동점,B Type,145
195,(1642)NB파주와동점,B Type,144
1761,(K42)이천점,B Type,144
480,(2328)보정점,B Type,144
1908,(L36)병점점,B Type,143
614,(2635)대구옥포점,S Type,143
674,(2661)마두역점,S Type,143
1155,(4150)NBR파주다율점,B Type,143
1134,(4143)NBR원주지정점,B Type,143
228,(1656)NB화성향남점,B Type,143
93,(1603)NB용인신봉점,B Type,143
468,(2323)망포점,B Type,142
479,(2326)정관점,S Type,142
1698,(K07)비산동점,B Type,142
240,(1661)NB오산금암점,B Type,142
363,(1706)PKM STF위례점,B Type,142
602,(2630)대구현풍점,S Type,142
1821,(K82)고촌점,B Type,141
1814,(K79)신영통점,S Type,141
1293,(4527)NBFC진해풍호점,B Type,140
183,(1635)NB동대문장안점,B Type,140
1718,(K15)일곡동점,S Type,140
407,(2031)상계점,S Type,140
1478,(880)인천공항점,S Type,140
1305,(4531)NBFC대구세천점,B Type,139
524,(2426)고양삼송2점,S Type,139
743,(2761)F김포구래점,S Type,139
630,(2643)마곡점,B Type,139
1809,(K77)덕정점,B Type,139
723,(2743)F대구신서점,B Type,138
681,(2664)세종신동아점,B Type,137
266,(1669)NB원주반곡점,S Type,137
357,(1704)PK마켓SF하남점,B Type,137
360,(1705)PK마켓SF고양점,B Type,137
542,(2525)의정부장암점,S Type,136
1688,(K02)명일동점,S Type,136
1781,(K63)광사동점,S Type,136
1907,(L35)성대점,S Type,136
1773,(K52)법동점,B Type,136
1925,(L46)용호점,S Type,135
648,(2651)오포신현점,B Type,135
776,(290)김천점,S Type,135
587,(2624)나주호수공원점,S Type,135
503,(2337)대구죽곡점,S Type,135
182,(1634)NB세종아름점,S Type,134
141,(1621)NB용인동천점,B Type,134
95,(1603)NB용인신봉점,S Type,134
572,(2618)동천점,S Type,134
636,(2646)세종이지더원점,B Type,134
557,(2533)천안차암점,S Type,134
1679,(A19)화곡동점,S Type,133
1656,(A04)봉천동점,B Type,133
1778,(K53)월피동점,S Type,133
231,(1657)NB포천소흘점,B Type,133
978,(4078)NB화성남양점,B Type,133
1149,(4148)NBR당진원당점,B Type,132
1658,(A04)봉천동점,S Type,132
282,(1675)NB영등포양평점,B Type,132
554,(2530)아산장재점,S Type,132
258,(1667)NB진주충무공점,B Type,131
621,(2638)송도호반점,B Type,131
176,(1632)NB화성능동점,S Type,131
276,(1673)NB나주빛가람점,B Type,131
1038,(4108)NBR화성향남행정점,B Type,131
510,(2421)고양삼송점,B Type,131
576,(2620)관저효성점,B Type,130
699,(2672)김해율하2점,B Type,130
1905,(L35)성대점,B Type,130
1071,(4122)NBR노원상계점,B Type,130
644,(2649)양산석산점,S Type,129
404,(2030)구로점,S Type,129
89,(1600)NB용인보라점,S Type,129
954,(4069)NB의정부신곡점,B Type,128
1770,(K51)방촌동점,B Type,128
915,(4045)NB동탄더블루점,B Type,128
332,(1692)NB서초방배점,S Type,128
684,(2666)미사퀸즈점,B Type,128
345,(1697)NB김해진영점,B Type,128
848,(4015)NB대전문지점,S Type,128
129,(1616)NB고양행신점,B Type,127
575,(2619)구미봉곡점,S Type,127
1239,(4508)NBFC대구현풍점,B Type,127
500,(2336)양산물금점,S Type,127
150,(1624)NB광명소하점,B Type,127
596,(2628)세종고운점,S Type,126
255,(1666)NB강남세곡점,B Type,126
290,(1677)NB강남역삼점,S Type,126
668,(2659)역삼점,S Type,126
546,(2527)별내점,B Type,126
852,(4017)NB아산배방점,B Type,125
1692,(K05)목동점,B Type,125
1152,(4149)NBR안산이동점,B Type,125
1242,(4509)NBFC울산유곡점,B Type,124
1919,(L40)검암점,S Type,124
672,(2661)마두역점,B Type,124
591,(2627)북천안점,B Type,124
720,(2741)F영주가흥점,B Type,124
437,(2136)대전관저점,S Type,124
590,(2625)이천갈산점,S Type,123
624,(2640)세종중흥점,B Type,122
1655,(A03)가락동점,S Type,122
1832,(K90)포항연일점,S Type,122
362,(1705)PK마켓SF고양점,S Type,122
314,(1686)NB화성반송점,S Type,121
1869,(L09)통진점,B Type,121
107,(1607)NB수원화서점,S Type,121
641,(2648)신곡풍림점,S Type,121
432,(2135)세종종촌점,B Type,121
1532,(943)상주점,S Type,120
113,(1609)NB수원이의점,S Type,119
1910,(L36)병점점,S Type,119
446,(2224)풍무2점,S Type,119
1050,(4112)NBR화성동탄자이점,B Type,119
1673,(A12)암사동점,S Type,118
1137,(4144)NBR광주태전점,B Type,118
261,(1668)NB이천안흥점,B Type,117
519,(2425)김포양곡점,B Type,117
300,(1681)NB안성공도점,B Type,117
1665,(A08)쌍문동점,B Type,117
1230,(4504)NBFC전주삼천점,B Type,117
476,(2325)오포점,S Type,117
117,(1612)NB안양평촌점,B Type,117
1140,(4145)NBR화성동탄장지점,B Type,116
1325,(4537)NBFC포항초곡점,S Type,116
1763,(K42)이천점,S Type,116
168,(1630)NB판교운중점,B Type,115
210,(1649)NB의정부녹양점,B Type,115
501,(2337)대구죽곡점,B Type,115
174,(1632)NB화성능동점,B Type,115
1874,(L10)녹양동점,S Type,115
551,(2529)세종아름점,S Type,114
1266,(4518)NBFC안동옥동점,B Type,114
1880,(L12)일산2호점,S Type,114
1853,(L02)고양동점,S Type,114
893,(4033)NB인천청라점,S Type,113
1865,(L07)봉일천점,S Type,113
246,(1663)NB울산신천점,B Type,113
620,(2637)세곡점,S Type,112
599,(2629)세종소담점,S Type,112
1862,(L06)팜스프링점,S Type,112
810,(4000)NB군포당동TR점,B Type,112
1262,(4516)NBFC진천덕산점,S Type,112
1758,(K41)하양점,B Type,112
1257,(4515)NBFC마산현동점,B Type,111
747,(2763)F창원북면점,B Type,111
1670,(A09)삼성동점,S Type,111
1667,(A08)쌍문동점,S Type,111
1332,(4540)NBFC구미송정점,B Type,111
293,(1678)NB홍성홍북점,S Type,111
1749,(K37)형곡동점,B Type,111
1103,(4132)NBR성남이매2점,S Type,111
194,(1641)NB강남터미널점,S Type,111
474,(2325)오포점,B Type,111
642,(2649)양산석산점,B Type,111
1760,(K41)하양점,S Type,110
354,(1702)PK청담점,B Type,110
1244,(4509)NBFC울산유곡점,S Type,110
449,(2227)경서점,S Type,110
1613,(972)사천점,S Type,109
495,(2335)김천혁신점,B Type,109
1284,(4524)NBFC대구매천점,B Type,109
152,(1624)NB광명소하점,S Type,109
225,(1655)NB양주덕정점,B Type,109
1001,(4090)NBR강서마곡점,S Type,109
173,(1631)NB고양풍동점,S Type,109
1779,(K63)광사동점,B Type,109
677,(2662)평택비전점,S Type,108
1911,(L38)율전점,B Type,108
447,(2227)경서점,B Type,108
1754,(K38)김해점,S Type,108
1895,(L19)광릉점,S Type,108
429,(2133)천안성거점,B Type,108
872,(4023)NB수원호매실점,S Type,108
278,(1673)NB나주빛가람점,S Type,108
1823,(K82)고촌점,S Type,108
1715,(K12)중곡동점,S Type,107
1748,(K35)성주점,S Type,107
555,(2533)천안차암점,B Type,107
999,(4090)NBR강서마곡점,B Type,106
569,(260)남원점,S Type,105
459,(2235)마전점,B Type,105
1751,(K37)형곡동점,S Type,105
891,(4033)NB인천청라점,B Type,105
1812,(K79)신영통점,B Type,105
584,(2622)자곡점,S Type,105
1005,(4092)NBR용인삼가점,B Type,104
435,(2136)대전관저점,B Type,104
1154,(4149)NBR안산이동점,S Type,104
695,(2669)성내점,S Type,104
1689,(K04)매탄동점,B Type,104
1329,(4539)NBFC대전가오2점,B Type,104
257,(1666)NB강남세곡점,S Type,103
840,(4013)NB남양주퇴계원점,B Type,103
405,(2031)상계점,B Type,103
1782,(K66)봉담2호점,B Type,102
522,(2426)고양삼송2점,B Type,102
1734,(K28)상현동점,B Type,102
573,(2619)구미봉곡점,B Type,102
1122,(4139)NBR천안용곡점,B Type,102
209,(1648)NB용인상현점,S Type,102
294,(1679)NB양산물금점,B Type,101
180,(1634)NB세종아름점,B Type,101
131,(1616)NB고양행신점,S Type,101
270,(1671)NB원주무실점,B Type,101
1836,(K95)가운점,B Type,101
1859,(L04)관산동점,S Type,101
104,(1606)NB남양주호평점,S Type,100
264,(1669)NB원주반곡점,B Type,99
1328,(4538)NBFC포항양덕점,S Type,99
714,(2738)F포항학천점,B Type,99
543,(2526)의정부민락점,B Type,99
326,(1690)NB대전죽동점,S Type,99
1730,(K24)창동점,S Type,99
819,(4004)NB충주중앙탑점,B Type,98
696,(2671)대구서재점,B Type,98
224,(1654)NB용인죽전점,S Type,98
408,(2032)방배효령점,B Type,98
1703,(K08)가양동점,S Type,98
527,(2427)신동백점,S Type,97
102,(1606)NB남양주호평점,B Type,97
318,(1688)NB고양신원점,B Type,97
251,(1664)NB천안불당점,S Type,97
876,(4028)NB아산둔포점,B Type,97
593,(2627)북천안점,S Type,97
1514,(937)익산점,S Type,97
1265,(4517)NBFC춘천점,S Type,96
1871,(L09)통진점,S Type,96
861,(4020)NB강남한티역점,B Type,95
1251,(4513)NBFC대구봉무점,B Type,95
386,(184)감삼점,S Type,95
402,(2030)구로점,B Type,95
768,(2887)신탄진점,B Type,94
903,(4038)NB구리인창점,B Type,94
1290,(4526)NBFC칠곡왜관점,B Type,94
744,(2762)F경주용강점,B Type,94
452,(2229)장현점,S Type,94
206,(1645)NB남양주오남점,S Type,93
1236,(4507)NBFC대구유가점,B Type,93
219,(1653)NB화성봉담점,B Type,93
585,(2624)나주호수공원점,B Type,93
108,(1608)NB인천논현점,B Type,93
539,(2524)남양주도곡점,S Type,93
831,(4008)NB부천상동점,B Type,93
654,(2653)부산구포점,B Type,92
882,(4030)NB천안백석점,B Type,92
438,(2137)아산공수점,B Type,91
1680,(A23)장기동점,B Type,91
944,(4062)NB대전가수원점,S Type,91
1775,(K52)법동점,S Type,91
597,(2629)세종소담점,B Type,91
260,(1667)NB진주충무공점,S Type,90
1727,(K20)행신동점,S Type,90
186,(1637)NB울산달동점,B Type,90
1811,(K77)덕정점,S Type,90
948,(4064)NB진주초전점,B Type,90
1101,(4132)NBR성남이매2점,B Type,90
1341,(4543)NBFC대구옥포점,B Type,90
324,(1690)NB대전죽동점,B Type,89
762,(2770)F불로점,B Type,89
350,(1698)NB용인청덕점,S Type,89
732,(2753)F석수점,B Type,89
351,(1699)NB남양주별내점,B Type,89
611,(2633)시흥배곧점,S Type,89
588,(2625)이천갈산점,B Type,89
854,(4017)NB아산배방점,S Type,89
675,(2662)평택비전점,B Type,89
1722,(K19)보령점,B Type,88
461,(2235)마전점,S Type,88
1241,(4508)NBFC대구현풍점,S Type,88
92,(1602)NB스타필드하남점,S Type,88
1142,(4145)NBR화성동탄장지점,S Type,88
1700,(K07)비산동점,S Type,88
1224,(4502)NBFC진해용원점,B Type,88
207,(1648)NB용인상현점,B Type,87
1796,(K71)청천동점,S Type,87
120,(1613)NB김포장기점,B Type,87
1887,(L17)영북점,B Type,86
212,(1649)NB의정부녹양점,S Type,86
1448,(780)영천점,S Type,86
678,(2663)홍성남장점,B Type,86
308,(1683)NB영등포여의도점,S Type,86
618,(2637)세곡점,B Type,86
296,(1679)NB양산물금점,S Type,86
600,(2630)대구현풍점,B Type,86
1065,(4120)NBR광명역점,B Type,86
1179,(4161)NBR세종조치원점,B Type,85
1260,(4516)NBFC진천덕산점,B Type,85
1268,(4518)NBFC안동옥동점,S Type,85
230,(1656)NB화성향남점,S Type,85
111,(1609)NB수원이의점,B Type,85
900,(4037) NB의왕포일점,B Type,85
1176,(4160)NBR일산주엽점,B Type,85
323,(1689)NB서울서초G5점,S Type,85
548,(2527)별내점,S Type,85
1695,(K06)이매동점,B Type,84
549,(2529)세종아름점,B Type,84
1104,(4133)NBR노원중계점,B Type,84
414,(2034)신내점,B Type,84
1286,(4524)NBFC대구매천점,S Type,84
132,(1617)NB대전탄방점,B Type,84
558,(2534)세종도담점,B Type,84
1790,(K68)용현동점,S Type,84
1011,(4095)NBR화성동탄리치안점,B Type,84
1017,(4098)NBR화성수원대점,B Type,84
1794,(K71)청천동점,B Type,84
1295,(4527)NBFC진해풍호점,S Type,83
1326,(4538)NBFC포항양덕점,B Type,83
945,(4063)NB창원대동점,B Type,83
594,(2628)세종고운점,B Type,83
1334,(4540)NBFC구미송정점,S Type,83
1245,(4510)NBFC구미확장점,B Type,82
1838,(K95)가운점,S Type,82
1875,(L11)신읍동점,B Type,82
1686,(K02)명일동점,B Type,82
1310,(4532)NBFC경주용강점,S Type,82
1029,(4102)NBR서산예천점,B Type,82
725,(2743)F대구신서점,S Type,82
234,(1658)NB스타필드고양점,B Type,82
1013,(4095)NBR화성동탄리치안점,S Type,82
105,(1607)NB수원화서점,B Type,81
1079,(4124)NBR공주신관동점,S Type,81
185,(1635)NB동대문장안점,S Type,81
702,(2673)당진점,B Type,81
416,(2034)신내점,S Type,81
608,(2632)구리갈매점,S Type,81
1847,(K99)작전점,S Type,80
1739,(K29)동림동점,S Type,80
873,(4026)NB엔터식스한양대점,B Type,80
1671,(A12)암사동점,B Type,80
99,(1605)NB은평진관점,B Type,80
1007,(4092)NBR용인삼가점,S Type,80
161,(1627)NB청주사천점,S Type,79
908,(4040)NB남양주화도2점,S Type,79
516,(2424)고촌2점,B Type,79
753,(2765)F영흥도점,B Type,79
603,(2631)하남미사점,B Type,79
162,(1628)NB인천서창점,B Type,79
1920,(L44)신길점,B Type,79
302,(1681)NB안성공도점,S Type,79
96,(1604)NB의정부민락점,B Type,78
1067,(4120)NBR광명역점,S Type,78
1218,(4500)NBFC군포산본역점,B Type,78
1031,(4102)NBR서산예천점,S Type,78
164,(1628)NB인천서창점,S Type,78
1826,(K86)연수점,S Type,78
758,(2766)F귤현점,S Type,78
1725,(K20)행신동점,B Type,77
1178,(4160)NBR일산주엽점,S Type,77
303,(1682)NB여주한글시장점,B Type,77
1170,(4156)NBR울산방어점,B Type,77
1076,(4123)NBR남양주다산점,S Type,77
1269,(4519)NBFC진해자은점,B Type,77
467,(2322)기흥점,S Type,77
353,(1699)NB남양주별내점,S Type,77
771,(2890)용방점,B Type,76
428,(2129)아산배방점,S Type,76
833,(4008)NB부천상동점,S Type,76
1854,(L03)백석점,B Type,76
440,(2137)아산공수점,S Type,76
749,(2763)F창원북면점,S Type,76
1316,(4534)NBFC김포풍무점,S Type,76
870,(4023)NB수원호매실점,B Type,76
465,(2322)기흥점,B Type,76
963,(4072)NBR인천원당점,B Type,76
1143,(4146)NBR논산내동점,B Type,76
1023,(4100)NBR인천논현역점,B Type,76
975,(4076)NBR대전관평점,B Type,76
1080,(4125)NBR대전중촌동점,B Type,75
885,(4031)NB천안신방2점,B Type,75
456,(2232)호구포역점,B Type,75
333,(1693)NB평택비전2점,B Type,75
875,(4026)NB엔터식스한양대점,S Type,75
1233,(4505)NBFC군산미장점,B Type,75
245,(1662)NB성남위례점,S Type,74
1830,(K90)포항연일점,B Type,74
932,(4051)NB대전용계점,S Type,74
138,(1620)NB대전관저점,B Type,74
843,(4014)NB하남미사2동점,B Type,73
1872,(L10)녹양동점,B Type,73
1839,(K96)구미옥계점,B Type,73
1664,(A07)미아동점,S Type,73
1662,(A07)미아동점,B Type,73
1032,(4103)NBR대전판암점,B Type,72
863,(4020)NB강남한티역점,S Type,72
101,(1605)NB은평진관점,S Type,72
1280,(4522)NBFC천안성성점,S Type,72
1053,(4113)NBR부천중동점,B Type,72
666,(2659)역삼점,B Type,72
1800,(K74)삼숭동점,B Type,72
1014,(4097)NBR광주초월점,B Type,72
1818,(K81)율하점,B Type,71
906,(4040)NB남양주화도2점,B Type,71
734,(2753)F석수점,S Type,71
218,(1652)NB고양도내점,S Type,71
692,(2668)명지SF점,S Type,71
1139,(4144)NBR광주태전점,S Type,70
606,(2632)구리갈매점,B Type,70
273,(1672)NB강남서초점,B Type,70
627,(2642)세종캐슬점,B Type,70
1320,(4536)NBFC고양행신중앙점,B Type,70
155,(1625)NB강서가양점,S Type,70
698,(2671)대구서재점,S Type,70
1674,(A16)풍무동점,B Type,70
1889,(L17)영북점,S Type,70
192,(1641)NB강남터미널점,B Type,70
126,(1615)NB부산하단아트몰링점,B Type,70
299,(1680)NB화성반월점,S Type,69
960,(4071)NB대전노은점,B Type,69
1085,(4126)NBR화성반송2점,S Type,69
1784,(K66)봉담2호점,S Type,69
140,(1620)NB대전관저점,S Type,69
1235,(4505)NBFC군산미장점,S Type,69
965,(4072)NBR인천원당점,S Type,69
864,(4021)NB대전둔산점,B Type,69
1802,(K74)삼숭동점,S Type,69
1343,(4543)NBFC대구옥포점,S Type,69
1797,(K73)서창동점,B Type,69
1055,(4113)NBR부천중동점,S Type,69
570,(2618)동천점,B Type,69
1253,(4513)NBFC대구봉무점,S Type,69
1857,(L04)관산동점,B Type,68
669,(2660)창원사림점,B Type,68
239,(1660)NB천안신방점,S Type,68
977,(4076)NBR대전관평점,S Type,68
834,(4009)NB마리오아울렛점,B Type,68
1167,(4155)NBR부천상이동점,B Type,68
90,(1602)NB스타필드하남점,B Type,68
845,(4014)NB하남미사2동점,S Type,68
821,(4004)NB충주중앙탑점,S Type,68
980,(4078)NB화성남양점,S Type,68
909,(4042)NB평택중앙로점,B Type,68
306,(1683)NB영등포여의도점,B Type,68
918,(4047)NB안산고잔점,B Type,67
242,(1661)NB오산금암점,S Type,67
828,(4007)NB시흥정왕점,B Type,67
179,(1633)NB수원천천점,S Type,67
773,(2890)용방점,S Type,67
1173,(4157)NBR홍성남장점,B Type,67
531,(2522)삼숭2점,B Type,67
578,(2620)관저효성점,S Type,67
1856,(L03)백석점,S Type,66
927,(4050)NB천안청당점,B Type,66
156,(1626)NB평택비전점,B Type,66
188,(1637)NB울산달동점,S Type,65
98,(1604)NB의정부민락점,S Type,65
1037,(4107)NBR인천송도센트럴점,S Type,65
272,(1671)NB원주무실점,S Type,65
275,(1672)NB강남서초점,S Type,65
836,(4009)NB마리오아울렛점,S Type,65
759,(2769)F양산덕계점,B Type,65
920,(4047)NB안산고잔점,S Type,64
936,(4053)NB오산수청점,B Type,64
1161,(4153)NBR통영광도점,B Type,64
1110,(4135)NBR파주야당점,B Type,64
884,(4030)NB천안백석점,S Type,63
1016,(4097)NBR광주초월점,S Type,63
1125,(4140)NBR수원영통역점,B Type,63
878,(4028)NB아산둔포점,S Type,63
924,(4049)NB평택송담점,B Type,63
1307,(4531)NBFC대구세천점,S Type,62
1092,(4129)NBR하남천현점,B Type,62
497,(2335)김천혁신점,S Type,62
1299,(4529)NBFC대구사수점,B Type,62
962,(4071)NB대전노은점,S Type,62
417,(2035)내곡점,B Type,62
777,(300)동광주점,B Type,62
1073,(4122)NBR노원상계점,S Type,62
1157,(4150)NBR파주다율점,S Type,62
1743,(K33)공릉동점,B Type,62
1151,(4148)NBR당진원당점,S Type,62
911,(4042)NB평택중앙로점,S Type,62
1158,(4151)NBR수원호매실3점,B Type,61
1106,(4133)NBR노원중계점,S Type,61
525,(2427)신동백점,B Type,61
959,(4070)NB대전유성온천점,S Type,61
1248,(4511)NBFC인천당하점,B Type,61
321,(1689)NB서울서초G5점,B Type,60
1127,(4140)NBR수원영통역점,S Type,60
956,(4069)NB의정부신곡점,S Type,60
842,(4013)NB남양주퇴계원점,S Type,60
236,(1658)NB스타필드고양점,S Type,59
1187,(4163)NBR부천옥길STF점,S Type,59
443,(2139)대전월평점,S Type,59
1278,(4522)NBFC천안성성점,B Type,59
419,(2035)내곡점,S Type,59
488,(2331)구미구평점,S Type,59
128,(1615)NB부산하단아트몰링점,S Type,59
1019,(4098)NBR화성수원대점,S Type,58
1083,(4126)NBR화성반송2점,B Type,58
1914,(L39)본오점,B Type,58
533,(2522)삼숭2점,S Type,58
645,(2650)천안불당점,B Type,58
1301,(4529)NBFC대구사수점,S Type,58
1850,(L01)광탄점,S Type,58
330,(1692)NB서초방배점,B Type,58
297,(1680)NB화성반월점,B Type,58
1107,(4134)NBR인천불로동점,B Type,57
998,(4089)NBR인천송도점,S Type,57
1799,(K73)서창동점,S Type,57
1302,(4530)NBFC대구학정점,B Type,57
680,(2663)홍성남장점,S Type,57
1867,(L08)적성점,C Type,57
254,(1665)NB김천율곡점,S Type,56
950,(4064)NB진주초전점,S Type,56
779,(300)동광주점,S Type,56
110,(1608)NB인천논현점,S Type,56
1028,(4101)NBR부천상동역점,S Type,56
837,(4012)NB하남미사1동점,B Type,56
1074,(4123)NBR남양주다산점,B Type,56
942,(4062)NB대전가수원점,B Type,56
1446,(780)영천점,B Type,56
1232,(4504)NBFC전주삼천점,S Type,55
701,(2672)김해율하2점,S Type,55
770,(2887)신탄진점,S Type,55
348,(1698)NB용인청덕점,B Type,55
338,(1694)NB양주옥정점,S Type,55
1131,(4142)NBR평택서정점,B Type,55
1097,(4130)NBR의정부호원점,S Type,55
1095,(4130)NBR의정부호원점,B Type,54
537,(2524)남양주도곡점,B Type,54
1077,(4124)NBR공주신관동점,B Type,54
996,(4089)NBR인천송도점,B Type,54
899,(4035)NB부산아웃렛점,S Type,54
1271,(4519)NBFC진해자은점,S Type,54
1227,(4503)NBFC전주송천점,B Type,54
1287,(4525)NBFC문경모전점,B Type,54
1883,(L15)법원점,S Type,54
1917,(L40)검암점,B Type,54
1877,(L11)신읍동점,S Type,53
687,(2667)부천옥길점,B Type,53
704,(2673)당진점,S Type,53
968,(4073)NB파주목동동점,S Type,53
1676,(A16)풍무동점,S Type,53
953,(4068)NBR강남대치역점,S Type,52
933,(4052)NB인천원창점,B Type,52
248,(1663)NB울산신천점,S Type,52
855,(4018)NB인천마전점,B Type,52
897,(4035)NB부산아웃렛점,B Type,52
971,(4074)NBR김포운양점,S Type,52
1922,(L44)신길점,S Type,52
336,(1694)NB양주옥정점,B Type,52
1323,(4537)NBFC포항초곡점,B Type,52
926,(4049)NB평택송담점,S Type,52
1653,(A03)가락동점,B Type,51
765,(2771)F세류점,B Type,51
1250,(4511)NBFC인천당하점,S Type,51
252,(1665)NB김천율곡점,B Type,51
1062,(4118)NBR서대문신촌점,B Type,51
1064,(4118)NBR서대문신촌점,S Type,51
1281,(4523)NBFC경산백천점,B Type,50
990,(4085)NBR양주LF점,B Type,50
243,(1662)NB성남위례점,B Type,50
1034,(4103)NBR대전판암점,S Type,49
1056,(4115)NBR평택동삭점,B Type,49
1041,(4109)NBR고양정발산점,B Type,49
441,(2139)대전월평점,B Type,49
116,(1611)NB파주동패점,S Type,49
969,(4074)NBR김포운양점,B Type,48
320,(1688)NB고양신원점,S Type,48
917,(4045)NB동탄더블루점,S Type,48
896,(4034)NB수원오목천점,S Type,48
1304,(4530)NBFC대구학정점,S Type,48
1259,(4515)NBFC마산현동점,S Type,48
1061,(4117)NBR남양주평내점,S Type,48
935,(4052)NB인천원창점,S Type,48
1899,(L23)걸포동점,B Type,48
582,(2622)자곡점,B Type,47
887,(4031)NB천안신방2점,S Type,47
1298,(4528)NBFC진주MBC점,S Type,46
1010,(4093)NBR고양마두점,S Type,46
1229,(4503)NBFC전주송천점,S Type,46
671,(2660)창원사림점,S Type,46
489,(2332)부산신호점,B Type,46
1146,(4147)NBR대전갈마점,B Type,46
690,(2668)명지SF점,B Type,46
1175,(4157)NBR홍성남장점,S Type,45
726,(2746)F금곡점,B Type,45
860,(4019)NB화성진안점,S Type,45
1044,(4110)NBR김해구산점,B Type,45
1043,(4109)NBR고양정발산점,S Type,45
215,(1651)NB평택청북점,S Type,45
881,(4029)NB용인성복점,S Type,44
545,(2526)의정부민락점,S Type,44
134,(1617)NB대전탄방점,S Type,44
1916,(L39)본오점,S Type,44
830,(4007)NB시흥정왕점,S Type,44
1148,(4147)NBR대전갈마점,S Type,43
938,(4053)NB오산수청점,S Type,43
1311,(4533)NBFC인천청학점,B Type,43
1040,(4108)NBR화성향남행정점,S Type,43
1166,(4154)NBR양주광사점,S Type,43
1058,(4115)NBR평택동삭점,S Type,43
849,(4016)NB남양주진접점,B Type,43
1160,(4151)NBR수원호매실3점,S Type,42
957,(4070)NB대전유성온천점,B Type,42
288,(1677)NB강남역삼점,B Type,42
761,(2769)F양산덕계점,S Type,42
1197,(4167)NBR장승백이시장점,B Type,41
839,(4012)NB하남미사1동점,S Type,41
342,(1696)NB대전지족점,B Type,41
966,(4073)NB파주목동동점,B Type,41
689,(2667)부천옥길점,S Type,41
905,(4038)NB구리인창점,S Type,41
1344,(4544)NBFC대구율하점,B Type,41
1130,(4141)NBR위례STF점,S Type,40
755,(2765)F영흥도점,S Type,40
1082,(4125)NBR대전중촌동점,S Type,40
812,(4000)NB군포당동TR점,S Type,40
939,(4061)NB구리갈매점,B Type,40
1221,(4501)NBFC울산무거점,B Type,40
902,(4037) NB의왕포일점,S Type,40
1070,(4121)NBR평택용이점,S Type,40
1292,(4526)NBFC칠곡왜관점,S Type,40
1331,(4539)NBFC대전가오2점,S Type,40
951,(4068)NBR강남대치역점,B Type,40
1188,(4164)NBR파주아울렛점,B Type,39
1089,(4128)NBR수원호매실2점,B Type,39
993,(4088)NBR보령동대점,B Type,39
